# r, Phi, Pi, A, delta
0.250228 -1.67736 -0.00771625 0.987126 -0.0486732 
0.250385 -1.67802 -0.00771453 0.987095 -0.0487794 
0.250542 -1.67868 -0.00771282 0.987064 -0.0488858 
0.250699 -1.67934 -0.0077111 0.987033 -0.0489924 
0.250856 -1.67999 -0.00770938 0.987003 -0.0490991 
0.251013 -1.68065 -0.00770767 0.986972 -0.0492059 
0.25117 -1.68131 -0.00770595 0.986941 -0.0493128 
0.251327 -1.68196 -0.00770423 0.98691 -0.04942 
0.251484 -1.68261 -0.00770251 0.986879 -0.0495272 
0.251642 -1.68327 -0.00770079 0.986848 -0.0496346 
0.251799 -1.68392 -0.00769907 0.986817 -0.0497422 
0.251956 -1.68457 -0.00769734 0.986786 -0.0498499 
0.252113 -1.68522 -0.00769562 0.986755 -0.0499577 
0.25227 -1.68587 -0.0076939 0.986723 -0.0500657 
0.252427 -1.68652 -0.00769217 0.986692 -0.0501738 
0.252584 -1.68717 -0.00769045 0.986661 -0.0502821 
0.252741 -1.68782 -0.00768872 0.986629 -0.0503905 
0.252898 -1.68846 -0.007687 0.986598 -0.0504991 
0.253055 -1.68911 -0.00768527 0.986567 -0.0506078 
0.253212 -1.68976 -0.00768354 0.986535 -0.0507166 
0.253369 -1.6904 -0.00768182 0.986504 -0.0508256 
0.253527 -1.69105 -0.00768009 0.986472 -0.0509347 
0.253684 -1.69169 -0.00767836 0.98644 -0.051044 
0.253841 -1.69233 -0.00767663 0.986409 -0.0511535 
0.253998 -1.69298 -0.00767489 0.986377 -0.051263 
0.254155 -1.69362 -0.00767316 0.986345 -0.0513727 
0.254312 -1.69426 -0.00767143 0.986314 -0.0514826 
0.254469 -1.6949 -0.0076697 0.986282 -0.0515926 
0.254626 -1.69554 -0.00766796 0.98625 -0.0517028 
0.254783 -1.69618 -0.00766623 0.986218 -0.0518131 
0.25494 -1.69681 -0.00766449 0.986186 -0.0519235 
0.255097 -1.69745 -0.00766276 0.986154 -0.0520341 
0.255254 -1.69809 -0.00766102 0.986122 -0.0521448 
0.255411 -1.69872 -0.00765928 0.98609 -0.0522557 
0.255569 -1.69936 -0.00765754 0.986058 -0.0523667 
0.255726 -1.69999 -0.0076558 0.986026 -0.0524779 
0.255883 -1.70063 -0.00765406 0.985993 -0.0525892 
0.25604 -1.70126 -0.00765232 0.985961 -0.0527007 
0.256197 -1.70189 -0.00765058 0.985929 -0.0528123 
0.256354 -1.70253 -0.00764884 0.985897 -0.052924 
0.256511 -1.70316 -0.0076471 0.985864 -0.0530359 
0.256668 -1.70379 -0.00764535 0.985832 -0.053148 
0.256825 -1.70442 -0.00764361 0.985799 -0.0532601 
0.256982 -1.70504 -0.00764187 0.985767 -0.0533725 
0.257139 -1.70567 -0.00764012 0.985734 -0.0534849 
0.257296 -1.7063 -0.00763837 0.985702 -0.0535976 
0.257454 -1.70693 -0.00763663 0.985669 -0.0537103 
0.257611 -1.70755 -0.00763488 0.985636 -0.0538232 
0.257768 -1.70818 -0.00763313 0.985604 -0.0539363 
0.257925 -1.7088 -0.00763138 0.985571 -0.0540495 
0.258082 -1.70943 -0.00762963 0.985538 -0.0541628 
0.258239 -1.71005 -0.00762788 0.985505 -0.0542763 
0.258396 -1.71067 -0.00762613 0.985472 -0.05439 
0.258553 -1.71129 -0.00762438 0.985439 -0.0545037 
0.25871 -1.71191 -0.00762262 0.985406 -0.0546177 
0.258867 -1.71253 -0.00762087 0.985373 -0.0547317 
0.259024 -1.71315 -0.00761911 0.98534 -0.054846 
0.259181 -1.71377 -0.00761736 0.985307 -0.0549603 
0.259338 -1.71439 -0.0076156 0.985274 -0.0550748 
0.259496 -1.71501 -0.00761385 0.985241 -0.0551895 
0.259653 -1.71562 -0.00761209 0.985207 -0.0553043 
0.25981 -1.71624 -0.00761033 0.985174 -0.0554192 
0.259967 -1.71685 -0.00760857 0.985141 -0.0555343 
0.260124 -1.71747 -0.00760681 0.985107 -0.0556496 
0.260281 -1.71808 -0.00760505 0.985074 -0.0557649 
0.260438 -1.71869 -0.00760329 0.98504 -0.0558805 
0.260595 -1.71931 -0.00760153 0.985007 -0.0559961 
0.260752 -1.71992 -0.00759976 0.984973 -0.056112 
0.260909 -1.72053 -0.007598 0.98494 -0.0562279 
0.261066 -1.72114 -0.00759624 0.984906 -0.056344 
0.261223 -1.72175 -0.00759447 0.984872 -0.0564603 
0.261381 -1.72236 -0.0075927 0.984839 -0.0565767 
0.261538 -1.72296 -0.00759094 0.984805 -0.0566932 
0.261695 -1.72357 -0.00758917 0.984771 -0.0568099 
0.261852 -1.72418 -0.0075874 0.984737 -0.0569268 
0.262009 -1.72478 -0.00758563 0.984703 -0.0570438 
0.262166 -1.72539 -0.00758386 0.984669 -0.0571609 
0.262323 -1.72599 -0.00758209 0.984635 -0.0572782 
0.26248 -1.72659 -0.00758032 0.984601 -0.0573956 
0.262637 -1.7272 -0.00757855 0.984567 -0.0575131 
0.262794 -1.7278 -0.00757678 0.984533 -0.0576308 
0.262951 -1.7284 -0.007575 0.984499 -0.0577487 
0.263108 -1.729 -0.00757323 0.984465 -0.0578667 
0.263265 -1.7296 -0.00757145 0.98443 -0.0579849 
0.263423 -1.7302 -0.00756968 0.984396 -0.0581031 
0.26358 -1.7308 -0.0075679 0.984362 -0.0582216 
0.263737 -1.73139 -0.00756612 0.984327 -0.0583402 
0.263894 -1.73199 -0.00756435 0.984293 -0.0584589 
0.264051 -1.73259 -0.00756257 0.984259 -0.0585778 
0.264208 -1.73318 -0.00756079 0.984224 -0.0586968 
0.264365 -1.73378 -0.00755901 0.98419 -0.058816 
0.264522 -1.73437 -0.00755722 0.984155 -0.0589353 
0.264679 -1.73496 -0.00755544 0.98412 -0.0590547 
0.264836 -1.73556 -0.00755366 0.984086 -0.0591743 
0.264993 -1.73615 -0.00755188 0.984051 -0.0592941 
0.26515 -1.73674 -0.00755009 0.984016 -0.059414 
0.265307 -1.73733 -0.00754831 0.983981 -0.059534 
0.265465 -1.73792 -0.00754652 0.983946 -0.0596542 
0.265622 -1.73851 -0.00754473 0.983912 -0.0597746 
0.265779 -1.7391 -0.00754295 0.983877 -0.059895 
0.265936 -1.73968 -0.00754116 0.983842 -0.0600157 
0.266093 -1.74027 -0.00753937 0.983807 -0.0601364 
0.26625 -1.74086 -0.00753758 0.983772 -0.0602573 
0.266407 -1.74144 -0.00753579 0.983736 -0.0603784 
0.266564 -1.74202 -0.007534 0.983701 -0.0604996 
0.266721 -1.74261 -0.0075322 0.983666 -0.060621 
0.266878 -1.74319 -0.00753041 0.983631 -0.0607425 
0.267035 -1.74377 -0.00752862 0.983596 -0.0608641 
0.267192 -1.74435 -0.00752682 0.98356 -0.0609859 
0.26735 -1.74494 -0.00752503 0.983525 -0.0611078 
0.267507 -1.74552 -0.00752323 0.98349 -0.0612299 
0.267664 -1.74609 -0.00752143 0.983454 -0.0613521 
0.267821 -1.74667 -0.00751963 0.983419 -0.0614745 
0.267978 -1.74725 -0.00751783 0.983383 -0.061597 
0.268135 -1.74783 -0.00751603 0.983348 -0.0617197 
0.268292 -1.7484 -0.00751423 0.983312 -0.0618425 
0.268449 -1.74898 -0.00751243 0.983276 -0.0619655 
0.268606 -1.74955 -0.00751063 0.983241 -0.0620886 
0.268763 -1.75013 -0.00750883 0.983205 -0.0622118 
0.26892 -1.7507 -0.00750702 0.983169 -0.0623352 
0.269077 -1.75127 -0.00750522 0.983133 -0.0624587 
0.269234 -1.75184 -0.00750341 0.983097 -0.0625824 
0.269392 -1.75242 -0.00750161 0.983061 -0.0627062 
0.269549 -1.75299 -0.0074998 0.983025 -0.0628302 
0.269706 -1.75356 -0.00749799 0.982989 -0.0629543 
0.269863 -1.75412 -0.00749618 0.982953 -0.0630786 
0.27002 -1.75469 -0.00749438 0.982917 -0.063203 
0.270177 -1.75526 -0.00749257 0.982881 -0.0633276 
0.270334 -1.75583 -0.00749075 0.982845 -0.0634523 
0.270491 -1.75639 -0.00748894 0.982809 -0.0635771 
0.270648 -1.75696 -0.00748713 0.982773 -0.0637021 
0.270805 -1.75752 -0.00748532 0.982736 -0.0638273 
0.270962 -1.75808 -0.0074835 0.9827 -0.0639525 
0.271119 -1.75865 -0.00748169 0.982664 -0.064078 
0.271277 -1.75921 -0.00747987 0.982627 -0.0642036 
0.271434 -1.75977 -0.00747805 0.982591 -0.0643293 
0.271591 -1.76033 -0.00747624 0.982554 -0.0644551 
0.271748 -1.76089 -0.00747442 0.982518 -0.0645812 
0.271905 -1.76145 -0.0074726 0.982481 -0.0647073 
0.272062 -1.76201 -0.00747078 0.982444 -0.0648336 
0.272219 -1.76257 -0.00746896 0.982408 -0.0649601 
0.272376 -1.76312 -0.00746713 0.982371 -0.0650867 
0.272533 -1.76368 -0.00746531 0.982334 -0.0652134 
0.27269 -1.76423 -0.00746349 0.982298 -0.0653403 
0.272847 -1.76479 -0.00746166 0.982261 -0.0654673 
0.273004 -1.76534 -0.00745984 0.982224 -0.0655945 
0.273161 -1.7659 -0.00745801 0.982187 -0.0657218 
0.273319 -1.76645 -0.00745618 0.98215 -0.0658493 
0.273476 -1.767 -0.00745436 0.982113 -0.0659769 
0.273633 -1.76755 -0.00745253 0.982076 -0.0661047 
0.27379 -1.7681 -0.0074507 0.982039 -0.0662326 
0.273947 -1.76865 -0.00744887 0.982002 -0.0663606 
0.274104 -1.7692 -0.00744704 0.981964 -0.0664888 
0.274261 -1.76975 -0.0074452 0.981927 -0.0666171 
0.274418 -1.77029 -0.00744337 0.98189 -0.0667456 
0.274575 -1.77084 -0.00744154 0.981853 -0.0668742 
0.274732 -1.77139 -0.0074397 0.981815 -0.067003 
0.274889 -1.77193 -0.00743787 0.981778 -0.0671319 
0.275046 -1.77247 -0.00743603 0.981741 -0.067261 
0.275204 -1.77302 -0.00743419 0.981703 -0.0673902 
0.275361 -1.77356 -0.00743236 0.981666 -0.0675196 
0.275518 -1.7741 -0.00743052 0.981628 -0.0676491 
0.275675 -1.77464 -0.00742868 0.981591 -0.0677787 
0.275832 -1.77518 -0.00742684 0.981553 -0.0679085 
0.275989 -1.77572 -0.00742499 0.981515 -0.0680385 
0.276146 -1.77626 -0.00742315 0.981478 -0.0681685 
0.276303 -1.7768 -0.00742131 0.98144 -0.0682988 
0.27646 -1.77734 -0.00741946 0.981402 -0.0684291 
0.276617 -1.77787 -0.00741762 0.981364 -0.0685596 
0.276774 -1.77841 -0.00741577 0.981326 -0.0686903 
0.276931 -1.77894 -0.00741393 0.981288 -0.0688211 
0.277088 -1.77948 -0.00741208 0.98125 -0.0689521 
0.277246 -1.78001 -0.00741023 0.981212 -0.0690832 
0.277403 -1.78055 -0.00740838 0.981174 -0.0692144 
0.27756 -1.78108 -0.00740653 0.981136 -0.0693458 
0.277717 -1.78161 -0.00740468 0.981098 -0.0694773 
0.277874 -1.78214 -0.00740283 0.98106 -0.069609 
0.278031 -1.78267 -0.00740097 0.981022 -0.0697408 
0.278188 -1.7832 -0.00739912 0.980984 -0.0698728 
0.278345 -1.78373 -0.00739726 0.980945 -0.0700049 
0.278502 -1.78425 -0.00739541 0.980907 -0.0701371 
0.278659 -1.78478 -0.00739355 0.980869 -0.0702695 
0.278816 -1.78531 -0.00739169 0.98083 -0.0704021 
0.278973 -1.78583 -0.00738984 0.980792 -0.0705348 
0.279131 -1.78636 -0.00738798 0.980753 -0.0706676 
0.279288 -1.78688 -0.00738612 0.980715 -0.0708006 
0.279445 -1.7874 -0.00738425 0.980676 -0.0709337 
0.279602 -1.78792 -0.00738239 0.980638 -0.071067 
0.279759 -1.78845 -0.00738053 0.980599 -0.0712004 
0.279916 -1.78897 -0.00737867 0.98056 -0.071334 
0.280073 -1.78949 -0.0073768 0.980522 -0.0714677 
0.28023 -1.79001 -0.00737494 0.980483 -0.0716015 
0.280387 -1.79052 -0.00737307 0.980444 -0.0717355 
0.280544 -1.79104 -0.0073712 0.980405 -0.0718696 
0.280701 -1.79156 -0.00736933 0.980366 -0.0720039 
0.280858 -1.79207 -0.00736746 0.980327 -0.0721383 
0.281015 -1.79259 -0.00736559 0.980288 -0.0722729 
0.281173 -1.7931 -0.00736372 0.980249 -0.0724076 
0.28133 -1.79362 -0.00736185 0.98021 -0.0725425 
0.281487 -1.79413 -0.00735998 0.980171 -0.0726775 
0.281644 -1.79464 -0.0073581 0.980132 -0.0728126 
0.281801 -1.79515 -0.00735623 0.980093 -0.0729479 
0.281958 -1.79567 -0.00735435 0.980054 -0.0730833 
0.282115 -1.79618 -0.00735248 0.980015 -0.0732189 
0.282272 -1.79668 -0.0073506 0.979975 -0.0733546 
0.282429 -1.79719 -0.00734872 0.979936 -0.0734905 
0.282586 -1.7977 -0.00734684 0.979897 -0.0736265 
0.282743 -1.79821 -0.00734496 0.979857 -0.0737627 
0.2829 -1.79871 -0.00734308 0.979818 -0.073899 
0.283057 -1.79922 -0.0073412 0.979778 -0.0740354 
0.283215 -1.79972 -0.00733932 0.979739 -0.074172 
0.283372 -1.80023 -0.00733743 0.979699 -0.0743087 
0.283529 -1.80073 -0.00733555 0.97966 -0.0744456 
0.283686 -1.80123 -0.00733366 0.97962 -0.0745826 
0.283843 -1.80173 -0.00733177 0.97958 -0.0747198 
0.284 -1.80224 -0.00732989 0.979541 -0.0748571 
0.284157 -1.80274 -0.007328 0.979501 -0.0749945 
0.284314 -1.80323 -0.00732611 0.979461 -0.0751321 
0.284471 -1.80373 -0.00732422 0.979421 -0.0752699 
0.284628 -1.80423 -0.00732233 0.979381 -0.0754077 
0.284785 -1.80473 -0.00732043 0.979341 -0.0755458 
0.284942 -1.80522 -0.00731854 0.979301 -0.0756839 
0.2851 -1.80572 -0.00731664 0.979261 -0.0758222 
0.285257 -1.80621 -0.00731475 0.979221 -0.0759607 
0.285414 -1.80671 -0.00731285 0.979181 -0.0760993 
0.285571 -1.8072 -0.00731096 0.979141 -0.076238 
0.285728 -1.80769 -0.00730906 0.979101 -0.0763769 
0.285885 -1.80818 -0.00730716 0.979061 -0.0765159 
0.286042 -1.80868 -0.00730526 0.979021 -0.0766551 
0.286199 -1.80917 -0.00730336 0.97898 -0.0767944 
0.286356 -1.80965 -0.00730146 0.97894 -0.0769339 
0.286513 -1.81014 -0.00729955 0.9789 -0.0770735 
0.28667 -1.81063 -0.00729765 0.978859 -0.0772132 
0.286827 -1.81112 -0.00729574 0.978819 -0.0773531 
0.286984 -1.8116 -0.00729384 0.978778 -0.0774932 
0.287142 -1.81209 -0.00729193 0.978738 -0.0776333 
0.287299 -1.81257 -0.00729002 0.978697 -0.0777736 
0.287456 -1.81306 -0.00728811 0.978657 -0.0779141 
0.287613 -1.81354 -0.0072862 0.978616 -0.0780547 
0.28777 -1.81402 -0.00728429 0.978575 -0.0781954 
0.287927 -1.8145 -0.00728238 0.978535 -0.0783363 
0.288084 -1.81498 -0.00728047 0.978494 -0.0784774 
0.288241 -1.81546 -0.00727856 0.978453 -0.0786185 
0.288398 -1.81594 -0.00727664 0.978412 -0.0787598 
0.288555 -1.81642 -0.00727473 0.978372 -0.0789013 
0.288712 -1.8169 -0.00727281 0.978331 -0.0790429 
0.288869 -1.81738 -0.00727089 0.97829 -0.0791847 
0.289027 -1.81785 -0.00726897 0.978249 -0.0793265 
0.289184 -1.81833 -0.00726705 0.978208 -0.0794686 
0.289341 -1.8188 -0.00726513 0.978167 -0.0796107 
0.289498 -1.81928 -0.00726321 0.978126 -0.079753 
0.289655 -1.81975 -0.00726129 0.978085 -0.0798955 
0.289812 -1.82022 -0.00725937 0.978043 -0.0800381 
0.289969 -1.82069 -0.00725744 0.978002 -0.0801808 
0.290126 -1.82116 -0.00725552 0.977961 -0.0803237 
0.290283 -1.82163 -0.00725359 0.97792 -0.0804667 
0.29044 -1.8221 -0.00725166 0.977878 -0.0806099 
0.290597 -1.82257 -0.00724973 0.977837 -0.0807532 
0.290754 -1.82304 -0.0072478 0.977796 -0.0808967 
0.290911 -1.82351 -0.00724587 0.977754 -0.0810403 
0.291069 -1.82397 -0.00724394 0.977713 -0.081184 
0.291226 -1.82444 -0.00724201 0.977671 -0.0813279 
0.291383 -1.8249 -0.00724008 0.97763 -0.0814719 
0.29154 -1.82536 -0.00723814 0.977588 -0.0816161 
0.291697 -1.82583 -0.00723621 0.977547 -0.0817604 
0.291854 -1.82629 -0.00723427 0.977505 -0.0819048 
0.292011 -1.82675 -0.00723233 0.977463 -0.0820494 
0.292168 -1.82721 -0.00723039 0.977422 -0.0821941 
0.292325 -1.82767 -0.00722845 0.97738 -0.082339 
0.292482 -1.82813 -0.00722651 0.977338 -0.082484 
0.292639 -1.82859 -0.00722457 0.977296 -0.0826291 
0.292796 -1.82905 -0.00722263 0.977254 -0.0827744 
0.292954 -1.8295 -0.00722068 0.977212 -0.0829199 
0.293111 -1.82996 -0.00721874 0.97717 -0.0830654 
0.293268 -1.83041 -0.00721679 0.977128 -0.0832112 
0.293425 -1.83087 -0.00721485 0.977086 -0.083357 
0.293582 -1.83132 -0.0072129 0.977044 -0.083503 
0.293739 -1.83177 -0.00721095 0.977002 -0.0836491 
0.293896 -1.83223 -0.007209 0.97696 -0.0837954 
0.294053 -1.83268 -0.00720705 0.976918 -0.0839418 
0.29421 -1.83313 -0.0072051 0.976876 -0.0840884 
0.294367 -1.83358 -0.00720315 0.976834 -0.0842351 
0.294524 -1.83403 -0.00720119 0.976791 -0.084382 
0.294681 -1.83447 -0.00719924 0.976749 -0.0845289 
0.294838 -1.83492 -0.00719728 0.976707 -0.0846761 
0.294996 -1.83537 -0.00719532 0.976664 -0.0848233 
0.295153 -1.83581 -0.00719337 0.976622 -0.0849707 
0.29531 -1.83626 -0.00719141 0.976579 -0.0851183 
0.295467 -1.8367 -0.00718945 0.976537 -0.085266 
0.295624 -1.83715 -0.00718748 0.976494 -0.0854138 
0.295781 -1.83759 -0.00718552 0.976452 -0.0855618 
0.295938 -1.83803 -0.00718356 0.976409 -0.0857099 
0.296095 -1.83847 -0.00718159 0.976367 -0.0858581 
0.296252 -1.83891 -0.00717963 0.976324 -0.0860065 
0.296409 -1.83935 -0.00717766 0.976281 -0.086155 
0.296566 -1.83979 -0.0071757 0.976238 -0.0863037 
0.296723 -1.84023 -0.00717373 0.976196 -0.0864525 
0.296881 -1.84066 -0.00717176 0.976153 -0.0866015 
0.297038 -1.8411 -0.00716979 0.97611 -0.0867505 
0.297195 -1.84154 -0.00716781 0.976067 -0.0868998 
0.297352 -1.84197 -0.00716584 0.976024 -0.0870491 
0.297509 -1.8424 -0.00716387 0.975981 -0.0871987 
0.297666 -1.84284 -0.00716189 0.975938 -0.0873483 
0.297823 -1.84327 -0.00715992 0.975895 -0.0874981 
0.29798 -1.8437 -0.00715794 0.975852 -0.087648 
0.298137 -1.84413 -0.00715596 0.975809 -0.0877981 
0.298294 -1.84456 -0.00715398 0.975766 -0.0879483 
0.298451 -1.84499 -0.007152 0.975723 -0.0880986 
0.298608 -1.84542 -0.00715002 0.975679 -0.0882491 
0.298765 -1.84585 -0.00714804 0.975636 -0.0883997 
0.298923 -1.84627 -0.00714605 0.975593 -0.0885505 
0.29908 -1.8467 -0.00714407 0.97555 -0.0887014 
0.299237 -1.84712 -0.00714208 0.975506 -0.0888524 
0.299394 -1.84755 -0.0071401 0.975463 -0.0890036 
0.299551 -1.84797 -0.00713811 0.975419 -0.0891549 
0.299708 -1.8484 -0.00713612 0.975376 -0.0893064 
0.299865 -1.84882 -0.00713413 0.975332 -0.089458 
0.300022 -1.84924 -0.00713214 0.975289 -0.0896097 
0.300179 -1.84966 -0.00713014 0.975245 -0.0897616 
0.300336 -1.85008 -0.00712815 0.975202 -0.0899136 
0.300493 -1.8505 -0.00712616 0.975158 -0.0900657 
0.30065 -1.85092 -0.00712416 0.975114 -0.090218 
0.300807 -1.85133 -0.00712216 0.975071 -0.0903705 
0.300965 -1.85175 -0.00712017 0.975027 -0.090523 
0.301122 -1.85217 -0.00711817 0.974983 -0.0906757 
0.301279 -1.85258 -0.00711617 0.974939 -0.0908286 
0.301436 -1.85299 -0.00711417 0.974896 -0.0909815 
0.301593 -1.85341 -0.00711216 0.974852 -0.0911347 
0.30175 -1.85382 -0.00711016 0.974808 -0.0912879 
0.301907 -1.85423 -0.00710816 0.974764 -0.0914413 
0.302064 -1.85464 -0.00710615 0.97472 -0.0915948 
0.302221 -1.85505 -0.00710414 0.974676 -0.0917485 
0.302378 -1.85546 -0.00710214 0.974632 -0.0919023 
0.302535 -1.85587 -0.00710013 0.974588 -0.0920563 
0.302692 -1.85628 -0.00709812 0.974544 -0.0922103 
0.30285 -1.85669 -0.0070961 0.9745 -0.0923646 
0.303007 -1.85709 -0.00709409 0.974455 -0.0925189 
0.303164 -1.8575 -0.00709208 0.974411 -0.0926734 
0.303321 -1.8579 -0.00709006 0.974367 -0.092828 
0.303478 -1.85831 -0.00708805 0.974323 -0.0929828 
0.303635 -1.85871 -0.00708603 0.974278 -0.0931377 
0.303792 -1.85911 -0.00708401 0.974234 -0.0932928 
0.303949 -1.85951 -0.00708199 0.97419 -0.0934479 
0.304106 -1.85991 -0.00707997 0.974145 -0.0936032 
0.304263 -1.86031 -0.00707795 0.974101 -0.0937587 
0.30442 -1.86071 -0.00707593 0.974056 -0.0939143 
0.304577 -1.86111 -0.00707391 0.974012 -0.09407 
0.304734 -1.86151 -0.00707188 0.973967 -0.0942259 
0.304892 -1.8619 -0.00706986 0.973923 -0.0943819 
0.305049 -1.8623 -0.00706783 0.973878 -0.094538 
0.305206 -1.86269 -0.0070658 0.973833 -0.0946943 
0.305363 -1.86309 -0.00706377 0.973789 -0.0948507 
0.30552 -1.86348 -0.00706174 0.973744 -0.0950072 
0.305677 -1.86387 -0.00705971 0.973699 -0.0951639 
0.305834 -1.86427 -0.00705768 0.973654 -0.0953207 
0.305991 -1.86466 -0.00705564 0.97361 -0.0954777 
0.306148 -1.86505 -0.00705361 0.973565 -0.0956348 
0.306305 -1.86544 -0.00705157 0.97352 -0.095792 
0.306462 -1.86583 -0.00704953 0.973475 -0.0959493 
0.306619 -1.86621 -0.00704749 0.97343 -0.0961068 
0.306777 -1.8666 -0.00704545 0.973385 -0.0962645 
0.306934 -1.86699 -0.00704341 0.97334 -0.0964222 
0.307091 -1.86737 -0.00704137 0.973295 -0.0965801 
0.307248 -1.86776 -0.00703933 0.97325 -0.0967382 
0.307405 -1.86814 -0.00703728 0.973205 -0.0968963 
0.307562 -1.86852 -0.00703524 0.97316 -0.0970546 
0.307719 -1.86891 -0.00703319 0.973114 -0.0972131 
0.307876 -1.86929 -0.00703114 0.973069 -0.0973717 
0.308033 -1.86967 -0.00702909 0.973024 -0.0975304 
0.30819 -1.87005 -0.00702704 0.972979 -0.0976892 
0.308347 -1.87043 -0.00702499 0.972933 -0.0978482 
0.308504 -1.87081 -0.00702294 0.972888 -0.0980073 
0.308661 -1.87118 -0.00702088 0.972843 -0.0981666 
0.308819 -1.87156 -0.00701883 0.972797 -0.098326 
0.308976 -1.87193 -0.00701677 0.972752 -0.0984855 
0.309133 -1.87231 -0.00701472 0.972706 -0.0986451 
0.30929 -1.87268 -0.00701266 0.972661 -0.0988049 
0.309447 -1.87306 -0.0070106 0.972615 -0.0989648 
0.309604 -1.87343 -0.00700854 0.97257 -0.0991249 
0.309761 -1.8738 -0.00700647 0.972524 -0.0992851 
0.309918 -1.87417 -0.00700441 0.972479 -0.0994454 
0.310075 -1.87454 -0.00700235 0.972433 -0.0996059 
0.310232 -1.87491 -0.00700028 0.972387 -0.0997665 
0.310389 -1.87528 -0.00699821 0.972342 -0.0999272 
0.310546 -1.87565 -0.00699614 0.972296 -0.100088 
0.310704 -1.87602 -0.00699407 0.97225 -0.100249 
0.310861 -1.87638 -0.006992 0.972204 -0.10041 
0.311018 -1.87675 -0.00698993 0.972159 -0.100571 
0.311175 -1.87711 -0.00698786 0.972113 -0.100733 
0.311332 -1.87748 -0.00698578 0.972067 -0.100894 
0.311489 -1.87784 -0.00698371 0.972021 -0.101056 
0.311646 -1.8782 -0.00698163 0.971975 -0.101218 
0.311803 -1.87856 -0.00697955 0.971929 -0.10138 
0.31196 -1.87892 -0.00697748 0.971883 -0.101542 
0.312117 -1.87928 -0.00697539 0.971837 -0.101704 
0.312274 -1.87964 -0.00697331 0.971791 -0.101866 
0.312431 -1.88 -0.00697123 0.971745 -0.102029 
0.312588 -1.88036 -0.00696915 0.971699 -0.102191 
0.312746 -1.88071 -0.00696706 0.971652 -0.102354 
0.312903 -1.88107 -0.00696497 0.971606 -0.102517 
0.31306 -1.88142 -0.00696289 0.97156 -0.10268 
0.313217 -1.88178 -0.0069608 0.971514 -0.102843 
0.313374 -1.88213 -0.00695871 0.971467 -0.103006 
0.313531 -1.88248 -0.00695662 0.971421 -0.10317 
0.313688 -1.88283 -0.00695452 0.971375 -0.103333 
0.313845 -1.88319 -0.00695243 0.971328 -0.103497 
0.314002 -1.88354 -0.00695033 0.971282 -0.103661 
0.314159 -1.88388 -0.00694824 0.971235 -0.103824 
0.314316 -1.88423 -0.00694614 0.971189 -0.103989 
0.314473 -1.88458 -0.00694404 0.971143 -0.104153 
0.314631 -1.88493 -0.00694194 0.971096 -0.104317 
0.314788 -1.88527 -0.00693984 0.971049 -0.104481 
0.314945 -1.88562 -0.00693774 0.971003 -0.104646 
0.315102 -1.88596 -0.00693563 0.970956 -0.104811 
0.315259 -1.88631 -0.00693353 0.97091 -0.104975 
0.315416 -1.88665 -0.00693142 0.970863 -0.10514 
0.315573 -1.88699 -0.00692931 0.970816 -0.105306 
0.31573 -1.88733 -0.0069272 0.970769 -0.105471 
0.315887 -1.88767 -0.00692509 0.970723 -0.105636 
0.316044 -1.88801 -0.00692298 0.970676 -0.105802 
0.316201 -1.88835 -0.00692087 0.970629 -0.105967 
0.316358 -1.88869 -0.00691875 0.970582 -0.106133 
0.316515 -1.88903 -0.00691664 0.970535 -0.106299 
0.316673 -1.88936 -0.00691452 0.970489 -0.106465 
0.31683 -1.8897 -0.0069124 0.970442 -0.106631 
0.316987 -1.89003 -0.00691029 0.970395 -0.106797 
0.317144 -1.89037 -0.00690816 0.970348 -0.106964 
0.317301 -1.8907 -0.00690604 0.970301 -0.10713 
0.317458 -1.89103 -0.00690392 0.970254 -0.107297 
0.317615 -1.89136 -0.0069018 0.970207 -0.107464 
0.317772 -1.89169 -0.00689967 0.970159 -0.10763 
0.317929 -1.89202 -0.00689754 0.970112 -0.107797 
0.318086 -1.89235 -0.00689541 0.970065 -0.107965 
0.318243 -1.89268 -0.00689329 0.970018 -0.108132 
0.3184 -1.89301 -0.00689115 0.969971 -0.108299 
0.318557 -1.89333 -0.00688902 0.969923 -0.108467 
0.318715 -1.89366 -0.00688689 0.969876 -0.108635 
0.318872 -1.89398 -0.00688475 0.969829 -0.108802 
0.319029 -1.89431 -0.00688262 0.969782 -0.10897 
0.319186 -1.89463 -0.00688048 0.969734 -0.109138 
0.319343 -1.89495 -0.00687834 0.969687 -0.109307 
0.3195 -1.89527 -0.0068762 0.969639 -0.109475 
0.319657 -1.8956 -0.00687406 0.969592 -0.109643 
0.319814 -1.89592 -0.00687192 0.969545 -0.109812 
0.319971 -1.89623 -0.00686978 0.969497 -0.109981 
0.320128 -1.89655 -0.00686763 0.96945 -0.110149 
0.320285 -1.89687 -0.00686548 0.969402 -0.110318 
0.320442 -1.89719 -0.00686334 0.969354 -0.110487 
0.3206 -1.8975 -0.00686119 0.969307 -0.110657 
0.320757 -1.89782 -0.00685904 0.969259 -0.110826 
0.320914 -1.89813 -0.00685689 0.969212 -0.110996 
0.321071 -1.89845 -0.00685473 0.969164 -0.111165 
0.321228 -1.89876 -0.00685258 0.969116 -0.111335 
0.321385 -1.89907 -0.00685042 0.969069 -0.111505 
0.321542 -1.89938 -0.00684827 0.969021 -0.111675 
